"coeff";"FS";"MODEL";"points";"RMSE"
31.8100145028231;"HRV_17_DFN_0612";1;8;158241.934033052
90.7952003556379;"HRV_17_DTS_0612";1;8;150236.411538294
181.112142189524;"HRV_17_DTS_1218";1;8;351994.018221738
484.953989172885;"HRV_17_DTS_1840";1;8;500209.127780926
130.399615529793;"ITA_17_DTS_0612";1;7;124337.922547947
355.281671621563;"ITA_17_DTS_1218";1;7;1181781.3420119
743.298800487366;"ITA_17_DTS_1840";1;7;1501709.25373466
33.2833333799166;"ITA_17_PGP_0012";1;7;857604.260283164
89.4735465592266;"ITA_18_DTS_0612";1;7;94626.4982235511
150.624328606553;"ITA_18_DTS_1218_OTB_DES";1;7;1965965.11286925
1005.85582263694;"ITA_18_DTS_1218_OTB_DWS_MDD";1;7;1963197.93016392
275.519733518174;"ITA_18_DTS_1840_OTB_DES";1;7;1894614.15471875
1352.55293829067;"ITA_18_DTS_1840_OTB_DWS_MDD";1;7;1548308.22102094
221.025043537593;"ITA_18_HOK_1218";1;7;158697.844547091
23.2681039599058;"ITA_18_PGP_0012";1;7;454453.843485928
219.079237717731;"ITA_19_DTS_1218_OTB_DES";1;7;855765.739830845
68.8110203171106;"ITA_19_DTS_1218_OTB_DWS_MDD";1;7;605150.422367536
280.358355357303;"ITA_19_DTS_1824_OTB_DES";1;7;150485.492176893
184.140966498405;"ITA_19_DTS_1824_OTB_DWS_MDD";1;7;251446.171390613
165.034478568393;"ITA_19_HOK_0624";1;7;255690.690004633
14.8568976228294;"ITA_19_PGP_0006";1;7;149348.24850202
29.9877477264495;"ITA_19_PGP_0612";1;7;1654635.17717782
92.5483246822163;"ITA_19_PGP_1218";1;7;129616.28752075
136.596768978475;"SVN_17_DTS_1218";1;7;17021.3470943018
325.367593274077;"ITA_17_TBB_VL1218";1;7;108328.508527698
842.548080490972;"ITA_17_TBB_VL1840";1;7;647354.319603538
