Fleet_segment;Species;Year;Variable;Value;Unit;Comments
ITA_18_DTS_1218_OTB_DES;ALL;2013;DAYS.annual;49028;days;NA
ITA_18_DTS_1218_OTB_DES;ALL;2013;variable.cost[fuel.cost];10100464.05;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2013;DAYS.annual;690.11;days;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2013;variable.cost[fuel.cost];134126.278;€;NA
ITA_18_DTS_1218_OTB_DES;ALL;2014;DAYS.annual;32119.08;days;NA
ITA_18_DTS_1218_OTB_DES;ALL;2014;variable.cost[fuel.cost];6238596.378;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2014;DAYS.annual;690.11;days;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2014;variable.cost[fuel.cost];134126.278;€;NA
ITA_18_DTS_1218_OTB_DES;ALL;2015;DAYS.annual;34677.64;days;NA
ITA_18_DTS_1218_OTB_DES;ALL;2015;variable.cost[fuel.cost];6794799.535;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2015;DAYS.annual;763.97;days;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2015;variable.cost[fuel.cost];159879.382;€;NA
ITA_18_DTS_1218_OTB_DES;ALL;2016;DAYS.annual;36910.95;days;NA
ITA_18_DTS_1218_OTB_DES;ALL;2016;variable.cost[fuel.cost];6967155.173;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2016;DAYS.annual;599.44;days;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2016;variable.cost[fuel.cost];120415.216;€;NA
ITA_18_DTS_1218_OTB_DES;ALL;2017;DAYS.annual;32916.51;days;NA
ITA_18_DTS_1218_OTB_DES;ALL;2017;variable.cost[fuel.cost];7949390.604;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2017;DAYS.annual;3311.71;days;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2017;variable.cost[fuel.cost];73792.35;€;NA
ITA_18_DTS_1218_OTB_DES;ALL;2018;DAYS.annual;38183;days;NA
ITA_18_DTS_1218_OTB_DES;ALL;2018;variable.cost[fuel.cost];755053.059;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2018;DAYS.annual;3688;days;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ALL;2018;variable.cost[fuel.cost];9044560.964;€;NA
