epsilon;FS;SPECIES;MODEL;RMSE
-0.2108;HRV_17_DFN_0612;HKE1718;1;0.312801955
0.02274;HRV_17_DTS_0612;HKE1718;1;0.145415002
-0.20261;HRV_17_DTS_1218;HKE1718;1;0.260149805
-0.04681;HRV_17_DTS_1840;HKE1718;1;0.444091847
-0.87599;ITA_17_DTS_0612;HKE1718;1;71.25186529
-0.46268;ITA_17_DTS_1218;HKE1718;1;0.565115713
0.32368;ITA_17_DTS_1840;HKE1718;1;0.873951535
-0.56917;ITA_17_PGP_0012;HKE1718;1;52.8977256
-1.04532;ITA_18_DTS_0612;HKE1718;1;30.40071346
-0.07703;ITA_18_DTS_1218_OTB_DES;HKE1718;1;1.407657874
-0.0385;ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;1;22525323.04
-0.14389;ITA_18_DTS_1840_OTB_DES;HKE1718;1;0.872011233
0.08803;ITA_18_DTS_1840_OTB_DWS_MDD;HKE1718;1;1.268033159
-0.07432;ITA_18_HOK_1218;HKE1718;1;1.628563629
-0.07348;SVN_17_DTS_1218;HKE1718;1;0.784806996
-1.29807;ITA_18_PGP_0012;HKE1718;1;42.4957986
-0.185;HRV_17_DFN_0612;HKE1718;2;0.314616202
0.039;HRV_17_DTS_0612;HKE1718;2;0.144564746
-0.2;HRV_17_DTS_1218;HKE1718;2;0.259120273
-0.039;HRV_17_DTS_1840;HKE1718;2;0.44488027
-0.966;ITA_17_DTS_0612;HKE1718;2;75.00042524
-0.472;ITA_17_DTS_1218;HKE1718;2;0.560773205
0.341;ITA_17_DTS_1840;HKE1718;2;0.87789571
-0.787;ITA_17_PGP_0012;HKE1718;2;50.60722647
-1.035;ITA_18_DTS_0612;HKE1718;2;30.34143686
-0.081;ITA_18_DTS_1218_OTB_DES;HKE1718;2;1.409483336
-0.132;ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2;3090558.057
-0.187;ITA_18_DTS_1840_OTB_DES;HKE1718;2;0.865952042
0.154;ITA_18_DTS_1840_OTB_DWS_MDD;HKE1718;2;1.230303785
-0.053;ITA_18_HOK_1218;HKE1718;2;1.607883943
-0.125;SVN_17_DTS_1218;HKE1718;2;0.92154975
-1.27;ITA_18_PGP_0012;HKE1718;2;40.45004706
9.16E-07;HRV_17_DFN_0612;HKE1718;3;0.388352037
2.22E-07;HRV_17_DTS_0612;HKE1718;3;0.119821111
1.82E-08;HRV_17_DTS_1218;HKE1718;3;0.193884512
2.28E-07;HRV_17_DTS_1840;HKE1718;3;0.30364649
3.82E-05;ITA_17_DTS_0612;HKE1718;3;26.0881202
1.54E-07;ITA_17_DTS_1218;HKE1718;3;0.528290217
8.24E-08;ITA_17_DTS_1840;HKE1718;3;0.894665518
-1.94E-05;ITA_17_PGP_0012;HKE1718;3;30.70978592
5.93E-06;ITA_18_DTS_0612;HKE1718;3;20.19617746
7.35E-08;ITA_18_DTS_1218_OTB_DES;HKE1718;3;0.98629029
-4.93E-07;ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;3;2.110236322
2.40E-07;ITA_18_DTS_1840_OTB_DES;HKE1718;3;0.774661715
3.61E-06;ITA_18_DTS_1840_OTB_DWS_MDD;HKE1718;3;1.034414613
5.73E-08;ITA_18_HOK_1218;HKE1718;3;0.991745974
-0.000222486;SVN_17_DTS_1218;HKE1718;3;1.649949425
-0.000153321;ITA_18_PGP_0012;HKE1718;3;17.99364933
3.507365907;HRV_17_DFN_0612;HKE1718;4;0.325265877
3.792362268;HRV_17_DTS_0612;HKE1718;4;0.152485725
3.718123209;HRV_17_DTS_1218;HKE1718;4;0.204027838
3.924595654;HRV_17_DTS_1840;HKE1718;4;0.345644202
22.93739383;ITA_17_DTS_0612;HKE1718;4;21.58264983
6.951489238;ITA_17_DTS_1218;HKE1718;4;0.599994639
7.567753583;ITA_17_DTS_1840;HKE1718;4;0.93233129
25.85923616;ITA_17_PGP_0012;HKE1718;4;30.5195446
14.6636047;ITA_18_DTS_0612;HKE1718;4;18.7667693
5.921983773;ITA_18_DTS_1218_OTB_DES;HKE1718;4;1.009177758
6.527493488;ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;4;23427273.12
5.994378185;ITA_18_DTS_1840_OTB_DES;HKE1718;4;0.822137742
5.991785885;ITA_18_DTS_1840_OTB_DWS_MDD;HKE1718;4;1.108578478
7.064863229;ITA_18_HOK_1218;HKE1718;4;1.010363348
6.504352471;SVN_17_DTS_1218;HKE1718;4;1.225990965
35.35843707;ITA_18_PGP_0012;HKE1718;4;68.1034323
-0.205;HRV_17_DFN_0612;HKE1718;5;0.503518549
0.024;HRV_17_DTS_0612;HKE1718;5;0.282347056
0.204;HRV_17_DTS_1218;HKE1718;5;0.177207689
0.225;HRV_17_DTS_1840;HKE1718;5;0.380714323
0.357;ITA_17_DTS_0612;HKE1718;5;20.80481728
0.625;ITA_17_DTS_1218;HKE1718;5;0.46275322
0.086;ITA_17_DTS_1840;HKE1718;5;0.980315837
0.866;ITA_17_PGP_0012;HKE1718;5;23.74690064
0.432;ITA_18_DTS_0612;HKE1718;5;18.87029185
-0.092;ITA_18_DTS_1218_OTB_DES;HKE1718;5;0.979722263
1.026;ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;5;2.924544221
-0.148;ITA_18_DTS_1840_OTB_DES;HKE1718;5;0.766717506
0.005;ITA_18_DTS_1840_OTB_DWS_MDD;HKE1718;5;1.13116488
-0.103;ITA_18_HOK_1218;HKE1718;5;1.031412586
0.075;SVN_17_DTS_1218;HKE1718;5;1.650009403
0.302;ITA_18_PGP_0012;HKE1718;5;23.22360087
