"epsilon";"FS";"SPECIES";"MODEL";"RMSE"
-0.2108;"HRV_17_DFN_0612";"HKE1718";1;0.312801954623131
2.21800425194437e-07;"HRV_17_DTS_0612";"HKE1718";3;0.11982111141536
0.204;"HRV_17_DTS_1218";"HKE1718";5;0.177207689426184
2.27899975903769e-07;"HRV_17_DTS_1840";"HKE1718";3;0.30364649021151
0.357;"ITA_17_DTS_0612";"HKE1718";5;20.8048172816267
0.625;"ITA_17_DTS_1218";"HKE1718";5;0.462753220002249
0.32368;"ITA_17_DTS_1840";"HKE1718";1;0.873951534923931
0.866;"ITA_17_PGP_0012";"HKE1718";5;23.7469006375604
14.66360470249;"ITA_18_DTS_0612";"HKE1718";4;18.7667692977454
-0.092;"ITA_18_DTS_1218_OTB_DES";"HKE1718";5;0.979722263123319
-4.92845294141694e-07;"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";3;2.11023632172861
-0.148;"ITA_18_DTS_1840_OTB_DES";"HKE1718";5;0.766717506243253
3.61340253441497e-06;"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";3;1.0344146132219
5.73445221992533e-08;"ITA_18_HOK_1218";"HKE1718";3;0.991745974077359
-0.07348;"SVN_17_DTS_1218";"HKE1718";1;0.784806996467718
-0.000153321010045689;"ITA_18_PGP_0012";"HKE1718";3;17.9936493300601
